time	hypnogram	REM_F	REM_C	wake_F	wake_C	NREM_F	NREM_C	homeostatic
0	1	0.001	0.001	6.0	0.9	0.001	0.001	0.5
2	1	0.0009672161004820071	0.0009078145337946426	5.999207314448387	0.8948972311991784	0.017632441208849967	0.0012555620880781101	0.5000287100571242
4	1	0.0009355069850316189	0.0008294189443572747	5.998410202675562	0.8901830547091955	0.034209534796856206	0.002217216021406523	0.5000574184657146
6	1	0.0009048374180359624	0.0007624092968819581	5.9976034697365606	0.8858275595683246	0.05073146494809144	0.003754424518329358	0.5000861252258648
8	1	0.00087517331904295	0.0007048142770989959	5.99678280858303	0.8818031122671434	0.06719841523370422	0.005760295895074542	0.50011483033767
10	1	0.0008464817248906173	0.0006550168733816322	5.995944618014614	0.8780841853399971	0.08361056861395826	0.008147298332783796	0.5001435338012243
12	1	0.0008187307530779834	0.0006116902521046917	5.995085863005644	0.8746471983905479	0.09996810744026591	0.010843751012308145	0.5001722356166216
14	1	0.0007918895663367832	0.0005737452535656509	5.99420396626273	0.8714703707651666	0.11627121345721368	0.01379095129445182	0.500200935783958
16	1	0.0007659283383646505	0.0005402874021245171	5.993296723123088	0.8685335851045681	0.1325200678045818	0.01694082265010676	0.5002296343033272
18	1	0.0007408182206817193	0.0005105817060307071	5.992362234133142	0.8658182610321522	0.14871485101935733	0.020253988944261347	0.5002583311748243
20	1	0.0007165313105737902	0.0004840238350062927	5.991398851190581	0.8633072382719714	0.16485574303773934	0.023698197788966518	0.500287026398544
22	1	0.0006930406200864404	0.00046011651959131143	5.990405134215584	0.8609846685271112	0.18094292319713864	0.02724702968972301	0.5003157199745808
24	1	0.0006703200460356375	0.0004384502257998974	5.9893798160841625	0.8588359154885142	0.19697657023817042	0.03087884117966692	0.5003444119030261
26	1	0.0006483443410015084	0.0004186873301953973	5.988321774108172	0.8568474623834965	0.21295686230664068	0.034575899526698775	0.5003731021839801
28	1	0.0006270890852730545	0.0004005491609537376	5.987230006747204	0.8550068265115972	0.228883976955525	0.03832367428721566	0.500401790817535
30	1	0.0006065306597126309	0.0003838053854842375	5.9861036145329605	0.8533024802525023	0.24475809114694144	0.04211025727492309	0.500430477803786
32	1	0.0005866462195100289	0.0003682653193310853	5.984941784407302	0.8517237780661531	0.26057938125411567	0.04592588766697128	0.5004591631428271
34	1	0.0005674136687970023	0.0003537708081656295	5.9837437768414	0.8502608890387585	0.27634802306334344	0.04976256318920207	0.5004878468347524
36	1	0.0005488116360940245	0.00034019039779315647	5.98250891523104	0.848904734560069	0.29206419177594234	0.05361372177696445	0.5005165288796564
38	1	0.0005308194505620125	0.00032741455877086497	5.981236577161432	0.8476469307470644	0.3077280620101977	0.05747398093640215	0.5005452092776335
40	1	0.0005134171190325908	0.00031535177454016715	5.979926187212229	0.8464797352570708	0.3233398078033035	0.061338924346852376	0.5005738880287783
42	1	0.0004965853037914091	0.00030392533661409204	5.978577211034115	0.845395998159374	0.33889960261329516	0.06520492714095596	0.5006025651331876
44	1	0.0004803053010897995	0.00029307071871951114	5.977189150477092	0.8443891165587392	0.35440761932097836	0.06906901285136623	0.5006312405909547
